,_ws.col.AbsTime,wlan.sa,wlan.da,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,Unnamed: 9,Unnamed: 10
729105,36:09.1,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,60218,,
729585,36:24.7,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
729590,36:24.8,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
729592,36:24.9,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
729595,36:25.0,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
729597,36:25.1,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
729599,36:25.2,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
729611,36:25.3,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
729613,36:25.4,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
730110,36:48.4,00:17:88:77:35:80,01:00:5e:7f:ff:fa,192.168.1.119,239.255.255.250,,,1900,1900,,
730112,36:48.5,00:17:88:77:35:80,01:00:5e:7f:ff:fa,192.168.1.119,239.255.255.250,,,1900,1900,,
730118,36:48.6,00:17:88:77:35:80,01:00:5e:7f:ff:fa,192.168.1.119,239.255.255.250,,,1900,1900,,
730120,36:48.7,00:17:88:77:35:80,01:00:5e:7f:ff:fa,192.168.1.119,239.255.255.250,,,1900,1900,,
730131,36:48.9,00:17:88:77:35:80,01:00:5e:7f:ff:fa,192.168.1.119,239.255.255.250,,,1900,1900,,
730143,36:49.3,fc:6b:f0:0a:c3:43,00:1c:10:f7:cd:bc,192.168.1.111,47.91.156.175,40100,12306,,,,
730297,36:54.8,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
730299,36:54.9,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
730302,36:55.0,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
730304,36:55.1,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
730307,36:55.2,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
730309,36:55.3,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
730313,36:55.4,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
730315,36:55.5,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
730917,37:24.8,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
730921,37:25.1,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
730923,37:25.3,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
730925,37:25.4,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
731447,37:45.4,00:17:88:77:35:80,01:00:5e:7f:ff:fa,192.168.1.119,239.255.255.250,,,1900,1900,,
731449,37:45.5,00:17:88:77:35:80,01:00:5e:7f:ff:fa,192.168.1.119,239.255.255.250,,,1900,1900,,
731451,37:45.6,00:17:88:77:35:80,01:00:5e:7f:ff:fa,192.168.1.119,239.255.255.250,,,1900,1900,,
731453,37:45.7,00:17:88:77:35:80,01:00:5e:7f:ff:fa,192.168.1.119,239.255.255.250,,,1900,1900,,
731455,37:45.8,00:17:88:77:35:80,01:00:5e:7f:ff:fa,192.168.1.119,239.255.255.250,,,1900,1900,,
731457,37:45.9,00:17:88:77:35:80,01:00:5e:7f:ff:fa,192.168.1.119,239.255.255.250,,,1900,1900,,
731570,37:48.3,00:17:88:77:35:80,6c:fd:b9:4f:70:0b,192.168.1.119,224.0.0.22,,,,,,
731571,37:48.3,00:17:88:77:35:80,08:c5:e1:d1:47:a5,192.168.1.119,224.0.0.22,,,,,,
731573,37:48.3,00:17:88:77:35:80,6c:fd:b9:4f:70:0b,192.168.1.119,224.0.0.22,,,,,,
731574,37:48.3,00:17:88:77:35:80,6c:fd:b9:4f:70:0b,192.168.1.119,224.0.0.22,,,,,,
731575,37:48.3,00:17:88:77:35:80,6c:fd:b9:4f:70:0b,192.168.1.119,224.0.0.22,,,,,,
731578,37:48.4,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,224.0.0.22,,,,,,
731592,37:48.8,00:17:88:77:35:80,6c:fd:b9:4f:70:0b,192.168.1.119,224.0.0.22,,,,,,
731594,37:48.8,00:17:88:77:35:80,6c:fd:b9:4f:70:0b,192.168.1.119,224.0.0.22,,,,,,
731595,37:48.8,00:17:88:77:35:80,6c:fd:b9:4f:70:0b,192.168.1.119,224.0.0.22,,,,,,
731596,37:48.8,00:17:88:77:35:80,6c:fd:b9:4f:70:0b,192.168.1.119,224.0.0.22,,,,,,
731600,37:48.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,224.0.0.22,,,,,,
731603,37:48.9,00:17:88:77:35:80,08:c5:e1:d1:47:a5,192.168.1.119,224.0.0.22,,,,,,
731633,37:49.7,00:17:88:77:35:80,fc:6b:f0:0a:c3:43,192.168.1.119,224.0.0.22,,,,,,
731634,37:49.7,00:17:88:77:35:80,fc:6b:f0:0a:c3:43,192.168.1.119,224.0.0.22,,,,,,
731737,37:54.9,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
731739,37:55.0,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
731741,37:55.1,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
731743,37:55.2,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
731745,37:55.3,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
731747,37:55.4,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
731749,37:55.5,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
731751,37:55.6,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024,1900,,
731881,38:01.0,fc:6b:f0:0a:c3:43,00:1c:10:f7:cd:bc,192.168.1.111,120.77.100.46,40099,12306,,,,
731974,38:02.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,62911,,
731975,38:02.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,62911,,
731976,38:03.0,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,62911,,
731977,38:03.0,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,62911,,
731978,38:03.0,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,62911,,
731979,38:03.0,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,62911,,
