,_ws.col.AbsTime,wlan.sa,wlan.da,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,Unnamed: 9,Unnamed: 10
809203,18:46.7,b8:55:10:25:bb:10,6c:fd:b9:4f:70:0b,192.168.1.2,224.0.0.1,,,,,,
809205,18:46.7,84:34:97:a4:9a:91,6c:fd:b9:4f:70:0b,192.168.1.160,224.0.1.60,,,,,,
809206,18:46.7,84:34:97:a4:9a:91,6c:fd:b9:4f:70:0b,192.168.1.160,224.0.1.60,,,,,,
809207,18:46.7,00:90:a9:81:93:56,6c:fd:b9:4f:70:0b,192.168.1.170,224.0.0.251,,,,,,
809227,18:46.7,00:90:a9:81:93:56,6c:fd:b9:4f:70:0b,192.168.1.170,239.255.255.250,,,,,,
809235,18:46.8,78:54:2e:56:20:fa,6c:fd:b9:4f:70:0b,192.168.0.50,224.0.0.252,,,,,,
809244,18:46.8,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
809246,18:46.8,b8:55:10:25:bb:10,fc:6b:f0:0a:c3:43,192.168.1.2,224.0.0.1,,,,,,
809248,18:46.8,00:90:a9:81:93:56,fc:6b:f0:0a:c3:43,192.168.1.170,224.0.0.251,,,,,,
809249,18:46.8,00:90:a9:81:93:56,fc:6b:f0:0a:c3:43,192.168.1.170,239.255.255.250,,,,,,
809250,18:46.8,78:54:2e:56:20:fa,fc:6b:f0:0a:c3:43,192.168.0.50,224.0.0.252,,,,,,
809253,18:46.8,84:34:97:a4:9a:91,fc:6b:f0:0a:c3:43,192.168.1.160,224.0.1.60,,,,,,
809262,18:46.8,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
809353,18:51.0,98:fc:11:a1:f7:0f,b8:55:10:25:bb:14,,,,,,,,
809375,18:52.3,6c:fd:b9:4f:70:0b,b8:55:10:25:bb:14,,,,,,,,
809419,18:54.9,00:0d:54:a4:81:85,6c:fd:b9:4f:70:0b,192.168.1.200,224.0.1.134,,,,,,
809421,18:55.0,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
809424,18:55.0,00:0d:54:a4:81:85,fc:6b:f0:0a:c3:43,192.168.1.200,224.0.1.134,,,,,,
809427,18:55.0,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
809490,18:59.4,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
809502,18:59.5,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
809504,18:59.6,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
809506,18:59.7,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
809508,18:59.8,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
809510,18:59.9,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
809512,19:00.0,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
809514,19:00.1,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
809520,19:00.6,98:fc:11:a1:f7:0f,b8:55:10:25:bb:14,,,,,,,,
809545,19:02.7,6c:fd:b9:4f:70:0b,b8:55:10:65:34:6c,,,,,,,,
809661,19:10.1,98:fc:11:a1:f7:0f,b8:55:10:25:bb:14,,,,,,,,
809706,19:13.1,6c:fd:b9:4f:70:0b,b8:55:10:25:bb:14,,,,,,,,
809821,19:16.7,b8:55:10:25:bb:10,6c:fd:b9:4f:70:0b,,,,,,,,
809823,19:16.7,84:34:97:a4:9a:91,6c:fd:b9:4f:70:0b,,,,,,,,
809824,19:16.7,84:34:97:a4:9a:91,6c:fd:b9:4f:70:0b,,,,,,,,
809825,19:16.7,84:34:97:a4:9a:91,6c:fd:b9:4f:70:0b,,,,,,,,
809826,19:16.7,84:34:97:a4:9a:91,6c:fd:b9:4f:70:0b,,,,,,,,
809827,19:16.7,84:34:97:a4:9a:91,6c:fd:b9:4f:70:0b,,,,,,,,
809828,19:16.7,84:34:97:a4:9a:91,6c:fd:b9:4f:70:0b,,,,,,,,
809829,19:16.7,84:34:97:a4:9a:91,6c:fd:b9:4f:70:0b,,,,,,,,
809831,19:16.7,84:34:97:a4:9a:91,6c:fd:b9:4f:70:0b,,,,,,,,
809832,19:16.7,78:54:2e:56:20:fa,6c:fd:b9:4f:70:0b,,,,,,,,
809833,19:16.7,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,,,,,,,,
809834,19:16.7,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,,,,,,,,
809877,19:17.1,e0:cb:4e:31:20:6c,6c:fd:b9:4f:70:0b,,,,,,,,
809894,19:17.5,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
809896,19:17.5,b8:55:10:25:bb:10,fc:6b:f0:0a:c3:43,,,,,,,,
809898,19:17.5,84:34:97:a4:9a:91,fc:6b:f0:0a:c3:43,,,,,,,,
809902,19:17.5,84:34:97:a4:9a:91,fc:6b:f0:0a:c3:43,,,,,,,,
809904,19:17.5,84:34:97:a4:9a:91,fc:6b:f0:0a:c3:43,,,,,,,,
809906,19:17.5,84:34:97:a4:9a:91,fc:6b:f0:0a:c3:43,,,,,,,,
809908,19:17.5,78:54:2e:56:20:fa,fc:6b:f0:0a:c3:43,,,,,,,,
809910,19:17.5,00:1c:10:f7:cd:bc,fc:6b:f0:0a:c3:43,,,,,,,,
809912,19:17.5,e0:cb:4e:31:20:6c,fc:6b:f0:0a:c3:43,,,,,,,,
809914,19:17.6,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
809920,19:17.7,f4:0f:24:37:5b:39,6c:fd:b9:4f:70:0b,,,,,,,,
809951,19:18.5,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
809953,19:18.5,f4:0f:24:37:5b:39,fc:6b:f0:0a:c3:43,,,,,,,,
809956,19:18.6,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
809975,19:19.7,98:fc:11:a1:f7:0f,b8:55:10:25:bb:14,,,,,,,,
810029,19:23.5,6c:fd:b9:4f:70:0b,b8:55:10:25:bb:14,,,,,,,,
810049,19:24.7,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
