frame.time,wlan.sa,wlan.da,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,
May-05, 2019 18:57:17.050936000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,d8:c4:6a:bd:86:52,213.57.2.5,192.168.1.112,,,53,47824
May-05, 2019 18:57:17.054207000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.054274000 Jerusalem Daylight Time,81:40:c9:c7:8b:33,49:6a:ee:37:33:d4,,,,,,
May-05, 2019 18:57:17.054885000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.055421000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.055490000 Jerusalem Daylight Time,a7:fe:14:f7:cd:bc,d8:23:a2:af:ac:b4,,,,,,
May-05, 2019 18:57:17.056283000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,d8:c4:6a:bd:86:52,213.57.22.5,192.168.1.112,,,53,55161
May-05, 2019 18:57:17.057457000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,d8:c4:6a:bd:86:52,213.57.22.5,192.168.1.112,,,53,55161
May-05, 2019 18:57:17.066810000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,192.168.1.1,192.168.1.151,,,53,2058
May-05, 2019 18:57:17.066902000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.071310000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,00:1c:10:f7:cd:bc,,,,,,
May-05, 2019 18:57:17.071381000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.084251000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,213.57.2.5,192.168.1.151,,,53,2058
May-05, 2019 18:57:17.084342000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.087497000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,00:1c:10:f7:cd:bc,192.168.1.151,192.168.1.1,,,2058,53
May-05, 2019 18:57:17.087564000 Jerusalem Daylight Time,,,,,,,,
